target,var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50,var_51,var_52,var_53,var_54,var_55,var_56,var_57,var_58,var_59,var_60,var_61,var_62,var_63,var_64,var_65,var_66,var_67,var_68,var_69,var_70,var_71,var_72,var_73,var_74,var_75,var_76,var_77,var_78,var_79,var_80,var_81,var_82,var_83,var_84,var_85,var_86,var_87,var_88,var_89,var_90,var_91,var_92,var_93,var_94,var_95,var_96,var_97,var_98,var_99,var_100,var_101,var_102,var_103,var_104,var_105,var_106,var_107,var_108,var_109,var_110,var_111,var_112,var_113,var_114,var_115,var_116,var_117,var_118,var_119,var_120,var_121,var_122,var_123,var_124,var_125,var_126,var_127,var_128,var_129,var_130,var_131,var_132,var_133,var_134,var_135,var_136,var_137,var_138,var_139,var_140,var_141,var_142,var_143,var_144,var_145,var_146,var_147,var_148,var_149,var_150,var_151,var_152,var_153,var_154,var_155,var_156,var_157,var_158,var_159,var_160,var_161,var_162,var_163,var_164,var_165,var_166,var_167,var_168,var_169,var_170,var_171,var_172,var_173,var_174,var_175,var_176,var_177,var_178,var_179,var_180,var_181,var_182,var_183,var_184,var_185,var_186,var_187,var_188,var_189,var_190,var_191,var_192,var_193,var_194,var_195,var_196,var_197,var_198,var_199
1.0,8.3572,2.0913,12.2681,9.6321,12.1514,12.9782,7.0113,15.9658,-5.8121,8.9103,-8.8166,-11.6668,13.8185,7.0177,4.1938,14.4004,8.9463,-1.3044,2.3924,0.2394,8.799,12.7603,3.1013,2.981,11.3798,14.2155,5.9844,-2.9797,4.1666,2.9514,-0.4064,6.3527,3.7729,16.5568,12.2502,4.2421,-1.3952,6.4074,9.6388,-2.7486,-9.3245,12.4955,11.7631,11.2905,14.4012,14.4712,8.8842,-6.0259,23.8165,30.8378,13.5192,22.2601,-4.2463,5.1873,14.1832,15.5258,14.307,4.7075,1.6656,8.8102,6.8437,-10.9485,-3.8521,-2.303,4.4641,0.9463,6.4296,2.2227,5.0194,-6.6308,10.8054,0.8105,-1.6204,22.9037,10.046,17.5661,0.5168,17.3125,4.8388,14.232,-4.1011,16.1189,-22.8065,-2.0334,4.8131,13.1066,-1.4337,10.5297,9.3895,3.7028,-10.282,6.9265,15.2578,10.6392,8.9917,-0.0007,10.1516,24.3043,1.5304,0.8707,7.3663,14.8613,30.8174,1.498,11.4706,3.7371,7.9744,17.5437,14.4673,19.9498,1.3397,7.2056,2.8299,10.8893,4.1114,5.466,4.262,-3.333,-12.7473,7.8511,45.6581,13.8395,8.8549,6.3741,2.2341,12.1383,14.274,-4.5804,1.0448,16.4022,12.8739,-0.0631,7.2043,6.7184,-2.4075,-3.6577,18.0827,10.7821,-3.2296,1.7158,3.9444,4.9843,15.0308,14.3739,7.8815,-2.8207,10.8736,8.7431,3.8664,-10.1704,20.492,9.2373,7.6389,14.6883,7.0799,-0.1029,11.6574,8.3405,25.5512,18.5698,15.44,5.6467,7.1841,6.8374,-7.3447,19.4885,2.762,4.9565,7.9256,5.6258,3.2838,8.9416,23.6403,10.5752,18.8138,19.1818,-2.0351,12.455,-14.7958,1.5647,3.2454,8.2431,9.3106,4.671,7.0367,-0.8779,2.13,-4.9129,11.8576,0.0675,4.943,8.3645,-0.2238,10.4679,20.3332,-0.7191,9.7383,8.2926,20.0835,0.6168
0.0,7.7135,-7.5365,8.6059,9.1983,12.9414,-8.7208,5.6587,20.3175,3.3097,8.4408,5.6328,-2.6703,14.0267,10.2341,6.6569,14.4045,9.5515,-0.0609,3.6775,25.9957,15.8448,26.9003,5.3497,3.468,14.5242,13.4507,-9.4153,1.7928,5.9209,2.554,-2.69,11.5482,-0.6145,11.9346,11.1511,-6.0442,1.685,5.1161,8.2077,2.8332,-16.0159,6.8638,9.3991,11.9421,1.9206,-6.239,12.6997,-18.7177,18.2122,20.3446,13.663,6.942,-12.5962,5.7259,5.0277,17.8711,11.2372,5.9681,7.5892,8.614,13.4874,-4.214,1.5451,4.0949,4.6754,-2.6082,3.8858,13.3749,5.0207,1.7585,27.2164,0.7169,0.881,27.96,-5.963,21.6356,9.1178,18.5497,5.5632,14.7778,0.4779,16.7453,-14.1627,0.2133,-3.7688,26.8586,-7.9784,16.1578,9.6613,5.8706,-9.2835,6.856,12.128,10.7043,13.3062,-0.3305,17.5405,10.0641,2.0769,0.8844,-6.6086,7.0157,24.8156,1.492,10.6168,6.0344,9.8,12.2494,14.4071,23.1263,2.1765,7.4822,2.3792,5.5177,2.59,4.5074,1.9106,8.4737,-13.7133,-0.6681,18.7499,10.4119,-2.0575,8.4998,2.914,12.7615,14.4924,2.219,-1.4945,17.2517,11.9471,-0.015,8.3681,7.2567,-10.9273,-0.3996,0.5134,14.69,12.1494,1.4327,2.0258,1.2036,7.2352,11.3668,8.7165,10.0932,9.1309,-4.9816,4.145,18.649,17.5318,10.2874,5.7366,16.2435,5.9123,-3.4137,13.0531,-5.2452,30.0078,9.1287,9.8497,5.2234,3.6346,14.7185,-6.9392,18.821,2.8295,10.8579,6.6744,5.3806,8.1447,-7.0912,-2.8113,-0.5143,10.0031,14.6068,0.7089,15.6568,-9.3699,3.1997,3.4981,10.7061,-0.5741,-0.7366,9.2473,3.1236,6.6873,-9.8569,16.7373,0.6968,3.7829,11.6041,1.0354,-1.6027,14.3024,1.1697,10.0886,8.5628,14.773,6.5488
0.0,8.319,5.8898,6.7045,9.1471,11.9527,3.5866,4.447,21.4873,-0.7932,8.8065,-0.1243,-2.3094,14.1175,7.0592,11.6052,14.5899,7.7138,-11.5752,22.1586,15.3048,12.6951,8.3477,5.8131,3.2634,15.8177,13.4576,-12.3772,-2.6655,5.2964,7.2082,-22.139,8.0899,-1.4056,9.3256,11.8185,4.2584,1.2784,9.4809,2.9209,-0.5067,-12.8207,20.8577,10.1032,10.8418,3.3605,6.4738,5.9923,-27.8715,3.8959,19.9066,12.9801,6.4612,3.1023,4.8673,-11.5928,8.4607,15.4507,7.0564,1.7936,8.9652,17.7778,2.1333,-2.5063,4.9953,4.9534,-5.6983,3.187,11.3969,5.0229,0.3534,27.5967,0.2609,-3.2748,4.6449,3.5853,13.0725,0.0891,15.4389,8.1093,11.6305,9.4274,12.4084,-16.5335,-12.2817,-8.1265,18.6592,14.8698,6.2989,9.6547,4.9835,-3.4769,6.874,17.452,9.4117,9.045,0.1759,16.1751,41.1251,1.3555,0.4385,-12.4303,21.3364,13.5591,1.7081,9.675,2.8043,8.6374,17.0836,14.1156,16.7608,7.4306,6.2797,4.2159,9.7207,2.772,-2.7037,3.1166,27.9393,-6.6714,5.8843,58.4469,8.7148,7.8307,13.5712,2.9961,12.4166,11.536,2.6818,-3.4027,17.0298,11.9601,0.9083,6.4261,7.1535,-10.0574,-12.0826,2.3388,14.2765,0.8136,19.3891,9.4596,0.3582,22.2197,13.5744,7.2004,0.2405,8.9496,1.8703,3.9951,0.2115,18.7932,14.1927,5.2453,17.3287,0.8515,-7.4961,13.2318,-3.4251,22.5765,3.4968,26.7898,5.6877,3.8542,14.8764,-10.4837,27.8862,3.4161,-21.1574,2.2434,6.2234,-3.5694,-0.0784,20.5431,1.399,18.1621,11.8297,-4.8123,18.0471,7.6265,1.1869,-5.3357,9.0708,-1.8381,9.5357,11.6983,-4.515,5.6984,-2.1575,17.8216,-0.8638,1.2978,7.885,-0.409,13.1583,23.8766,-0.6769,-3.2335,8.0529,16.4309,2.5142
1.0,13.8023,0.734,8.613,5.2899,10.4453,-7.2734,5.8765,9.8008,-0.9346,8.6379,-4.9108,1.0819,13.9053,8.5996,4.7403,15.382,9.7145,-13.4671,31.2084,11.2485,1.6842,21.3974,7.638,2.9035,6.8838,13.9098,1.1742,-0.966,4.3487,6.9442,-8.5805,11.5753,2.3707,21.5369,11.1604,14.143,-0.5001,6.052,4.2207,-3.3188,-18.0069,11.7031,11.5535,11.1136,13.4234,-1.2607,7.2995,4.5925,23.1385,17.5901,12.6851,5.6228,2.7209,7.7758,-9.9729,18.1023,15.6189,6.8496,-1.1868,9.9961,7.7648,-23.7164,2.1441,2.1141,6.4814,1.9267,6.0014,23.0963,5.01,-6.6647,36.1874,1.2428,2.6466,18.3432,5.1689,11.2815,-0.4344,16.2742,3.0441,12.4935,8.6833,16.2894,-3.8119,-14.8926,-7.0484,11.98,-11.7295,11.0067,6.1188,5.6747,-9.2049,6.9535,10.9066,10.6067,7.9719,-0.1099,16.7042,9.7009,0.4629,0.6604,-13.1676,20.2297,29.1156,1.926,13.802,3.643,7.7371,12.9377,14.2483,20.6047,7.0634,7.3918,5.1127,14.3454,2.7783,1.5688,3.6167,-8.0554,-2.5631,8.1529,30.5361,12.0897,3.6207,10.6322,0.1351,12.5101,11.6838,3.9529,5.2312,19.8837,12.9628,-0.0274,7.3246,7.2718,1.3959,2.4917,36.0576,21.209,3.0776,-1.9717,6.2933,2.6878,6.2443,12.5774,9.553,0.4686,10.1531,12.8083,4.2894,20.1104,14.7731,7.9691,9.4067,15.1815,-4.7129,8.7171,12.5625,-12.0841,14.877,14.0229,20.0976,5.7023,5.2505,23.8677,-0.628,11.8874,3.3991,-3.9402,1.8362,6.1785,-8.4452,-4.9685,17.2211,3.2079,12.0282,6.9385,1.2812,13.2148,6.6553,7.8644,1.0912,11.7686,-7.0212,5.0184,22.2249,-12.6061,11.3278,-14.388,14.8677,-0.2341,13.611,4.8812,4.0323,8.055,15.407,0.1606,5.9677,8.6797,17.2988,6.1198
0.0,15.2457,-1.6439,12.1539,5.3886,12.1404,-15.6719,5.6141,15.3244,-3.1001,8.2869,-4.104,-3.4426,13.8542,13.7586,9.4123,13.9725,9.8512,-6.3984,12.7747,2.3866,20.4688,15.2076,10.5068,2.1512,7.6873,13.9398,-2.8199,-3.6396,5.4751,1.6361,-12.6594,10.5854,-0.1074,20.7688,11.4075,7.2647,2.8553,4.1695,12.835,-4.7077,-16.9051,8.1868,11.2125,11.5963,-0.1091,-33.3977,11.588,-13.4968,8.8819,12.3172,12.7052,6.5176,-2.4281,7.7542,-1.0145,5.1658,20.847,6.6255,3.7116,8.2704,19.1224,-2.9359,1.1388,-2.7122,9.5845,0.9606,5.7782,2.033,5.0282,3.8721,4.8544,0.6488,0.1058,16.9162,17.9327,10.9114,0.5458,16.417,2.7171,13.632,12.5955,13.2889,-6.6672,-4.3261,-8.8537,20.7036,-1.0776,13.208,13.4283,2.7266,-5.6737,7.0349,4.0204,10.874,13.9008,0.4784,29.717,29.413,2.022,0.6056,-0.3181,20.7041,31.4,1.8378,15.4854,3.682,8.9489,23.1789,13.8101,15.5352,7.1795,4.9114,4.0149,6.3849,3.0728,2.506,0.119,-0.4544,2.4451,1.6925,2.682,14.2971,3.3461,1.8458,0.8487,12.189,14.3875,-1.6425,-3.3937,10.4017,11.2404,-0.511,8.4635,7.2828,8.342,-6.6635,23.2437,30.0854,-0.1875,6.6453,-0.8781,4.2881,10.6848,13.5843,8.5213,0.4856,12.2289,4.5531,4.2599,-2.8756,18.7208,18.6644,12.2051,18.4109,7.0179,-5.0197,12.1888,-5.318,30.2264,2.421,31.9621,5.55,4.989,9.3272,0.3256,17.8958,2.7862,6.3251,3.3272,5.2024,2.0055,-4.776,3.0881,4.322,18.7863,6.3217,-6.2102,11.9432,-1.2113,6.3747,-0.6476,13.0397,16.0082,-0.7024,20.2123,1.2266,13.8725,-2.8671,7.1355,1.3478,2.5561,6.0084,1.9214,1.8826,20.4712,-0.878,3.9114,7.5321,19.2006,8.0475
1.0,7.3023,-8.8874,7.3522,3.8862,10.9746,-20.861,5.4547,15.0167,-0.0456,6.1597,5.3385,6.2866,13.9307,5.1753,6.2424,14.8655,8.6649,-0.5791,18.0974,11.0204,19.6563,18.2177,3.1798,2.2563,13.7356,14.4318,-4.186,-2.516,5.4535,6.5666,-11.5585,11.0283,-3.3295,21.7518,11.9255,1.2479,3.9945,4.597,15.5512,-3.7605,-11.6778,7.0966,10.7558,11.0917,8.3291,-64.9018,17.5714,-15.7924,29.4296,12.4634,13.7471,7.7737,-0.4423,7.714,-10.8961,14.0214,11.6344,5.7883,6.7597,8.0372,4.2576,-30.42,3.2035,5.84,8.1539,-4.4916,6.9602,20.8872,5.0213,-1.3428,30.8559,0.954,4.8113,10.9793,12.2368,13.8462,6.7143,14.2113,3.4937,13.3317,4.9687,12.5711,10.7189,-2.546,-3.541,20.679,12.1739,9.7764,10.3281,8.4599,9.2067,7.1716,18.569,10.5316,9.7757,0.1999,12.2656,26.6378,2.6326,-1.3204,-19.662,10.8824,14.5187,1.3625,10.608,4.9778,6.5317,20.6675,14.4128,15.3152,5.7012,5.3661,6.5045,7.0486,3.5269,1.6106,3.2712,31.6093,-11.4208,1.5862,18.592,13.8154,2.4167,0.6546,5.9913,12.1216,14.5396,6.2674,2.6085,18.4317,12.516,0.2912,5.7225,6.5448,3.5177,6.7698,19.1677,3.7823,-5.7735,3.0205,4.5074,-3.1778,19.2406,10.1852,8.1693,6.8415,6.8993,-0.7218,3.9333,-9.0435,16.5465,14.6297,6.1421,16.8074,19.2906,-5.6533,12.1008,-13.2635,0.9781,14.0839,43.2021,5.7549,5.6071,10.0105,-0.5578,24.5501,3.3911,10.0586,6.1262,5.4319,-2.9301,-7.8011,9.8127,0.4086,5.5617,11.0125,-1.9059,15.3386,-0.8551,6.2035,-3.0628,11.1296,2.4588,6.3665,17.1756,-5.6757,5.6917,-27.4187,18.6657,0.5769,1.4422,2.4147,0.7447,4.7327,17.4687,2.9909,7.6474,7.9348,14.72,0.8805
0.0,11.1141,4.5168,10.3422,9.0136,7.7029,-1.1544,6.1261,13.7641,3.1995,6.7408,-4.9964,4.7995,13.9627,8.7973,11.8508,14.4589,8.4895,-3.0317,26.7921,11.3325,12.5352,24.8504,5.529,3.5964,5.6667,13.7636,-3.2464,-1.4016,5.4395,3.8008,-10.8091,10.5401,4.344,15.3183,11.723,-1.2614,2.3233,4.5956,21.5458,-3.6607,-0.4886,17.0017,10.2666,11.6599,0.3092,-18.2089,11.1017,-18.4643,4.4567,19.9331,12.0944,14.4687,0.4666,5.2354,1.3974,16.6419,13.9645,6.782,8.2214,9.9014,14.0522,-15.6313,0.9386,4.4104,5.7203,0.2528,4.4502,11.4321,5.0196,3.5186,33.8932,0.4517,-0.7932,18.8314,35.448,18.9303,13.038,17.0178,5.8834,14.29,11.4486,15.5234,-4.2251,5.1676,-0.4809,15.8271,-0.1333,9.3615,12.1197,6.6632,-23.9719,7.0378,17.4479,10.698,8.7853,-0.2636,25.6427,22.9767,2.3044,-1.1081,-2.5889,9.2008,25.5174,1.5337,13.8072,5.9532,8.3831,24.6419,14.1309,14.4481,1.6109,6.9891,0.3789,9.3839,4.4173,2.4041,4.2319,9.4409,-0.0208,-0.0016,9.1841,13.1803,5.0209,16.7357,7.1496,12.7395,12.5616,-3.1744,4.9868,11.4713,10.8753,0.2243,9.1829,7.0905,-1.1069,-1.9025,22.1315,32.7057,-3.8668,7.9209,5.9885,4.609,11.1032,17.8842,9.8021,8.8639,12.9903,7.0344,3.8146,22.4362,17.8921,11.1169,6.145,18.3977,13.9237,0.3372,14.5885,-12.8417,19.996,7.2154,20.7182,5.6766,8.2215,8.0893,2.1355,8.8771,2.9269,2.3188,2.0366,5.3764,-5.1204,0.1236,11.9198,2.7269,30.1542,18.7605,-18.1595,14.4895,3.6839,-0.9322,-2.7327,10.1099,2.0536,9.4798,10.9924,-2.9441,11.2278,6.9397,19.9077,-0.495,13.7926,10.3612,4.2051,-0.9002,22.6538,1.4211,-0.1039,8.4616,15.8227,2.9618
0.0,11.3047,-2.0046,10.1172,3.4915,10.7501,-10.0258,5.7128,15.8234,-7.3615,8.0646,-3.612,-1.2398,13.8268,8.4948,6.8285,14.572,14.9931,-14.212,28.8067,19.2302,16.7507,6.8104,6.2247,2.4964,15.6207,13.727,-7.1972,-1.9116,4.8005,9.6824,-17.1862,8.9825,-0.3633,10.0754,10.895,-0.5941,4.7788,10.3753,10.1782,1.0819,-10.9563,19.7599,11.6269,10.992,9.8962,-10.5186,10.0906,-19.2583,11.4207,16.3922,12.2516,25.1057,8.4285,5.9489,-3.2399,18.6797,19.1301,5.2646,-0.5519,9.436,6.5535,-7.8808,-2.9582,1.9547,5.2852,-2.0026,4.3445,11.6475,5.0114,-2.1985,31.4617,0.8254,-3.3612,24.7443,35.1023,25.6534,1.5936,15.7573,7.5865,13.6772,2.2805,15.9872,-12.506,9.4715,-2.5092,17.5909,1.7774,15.0555,6.5452,5.9047,-12.9977,6.7977,11.0262,10.8252,9.8662,-0.4976,25.1977,10.4857,1.8939,1.7325,-19.0522,6.62,31.6046,1.3629,11.1502,5.971,7.9308,16.5708,14.1691,23.9926,5.5077,7.3588,3.4486,4.1108,4.885,2.8563,2.8866,25.4197,-14.9569,0.16,29.5698,9.4761,4.3072,-1.0,3.4569,12.3985,13.9639,-1.4299,5.5171,14.5905,12.4802,0.7864,7.8375,7.1653,-2.2168,-6.2324,14.2106,2.85,-3.0273,-0.309,6.2445,-3.1541,14.2346,16.8451,7.4403,10.4259,8.8743,-9.6559,4.3511,6.5829,18.3065,9.8304,10.5299,16.1303,10.6979,-7.346,13.7867,0.3597,28.2035,4.3157,16.8189,5.4218,2.2198,1.7331,-2.7756,21.7435,3.7882,2.227,5.8493,5.9144,-5.0309,-6.3841,15.8184,-8.5145,8.4188,8.3844,5.0251,16.3173,5.2957,-0.6615,-0.2856,9.4853,-0.3515,5.0122,10.5039,-9.1259,12.8767,-32.4137,10.1018,-0.3886,-3.3531,5.1292,1.8041,8.4277,17.6773,-1.0681,9.7084,9.9811,21.8826,8.5117
1.0,6.5606,-0.8042,10.0754,8.2818,10.0977,10.0008,5.6211,19.388,-0.0071,8.6816,-8.2379,-2.4167,13.919,-3.1341,9.982,14.282,12.647,-2.7195,21.517,9.3772,10.717,26.1938,3.967,2.7128,9.5229,13.9296,-3.8961,0.2906,5.2401,8.0543,-0.3954,11.1788,-3.9293,18.027,12.0454,0.4001,-2.9294,6.8604,10.685,2.1262,3.7135,7.4852,10.8645,11.6477,4.8843,25.1793,12.5857,-10.862,37.7566,6.4883,12.6694,-1.6836,-5.1062,6.6196,2.9728,21.4387,9.2805,5.9417,6.6819,9.1485,5.667,-22.4987,-1.2378,-0.782,9.0021,-2.2985,6.0134,8.4582,5.0084,-4.1564,45.4521,0.4662,0.128,15.2031,18.4574,13.7804,-9.1456,14.9279,5.931,13.8021,13.59,11.8633,4.1912,5.3014,9.3522,16.9881,4.5267,23.5546,10.6594,8.6758,-26.5307,7.0885,3.2407,11.3302,11.3105,1.1345,17.7409,26.3574,1.592,-0.7301,-8.6094,10.3643,23.4656,1.531,9.731,3.8926,6.6513,14.7559,14.2689,20.5357,11.3973,4.8978,2.204,8.3856,4.1621,2.9162,4.5979,6.9792,8.093,-1.8422,-2.6748,14.1228,-0.0909,14.7636,2.5147,12.7043,13.7203,6.9328,-2.3099,7.4898,12.7304,0.5056,7.7544,6.7124,-13.3771,-0.3289,25.31,14.1458,-2.2634,6.3142,4.4302,-7.2759,9.3697,14.3552,8.2303,2.8765,13.1963,-4.4069,4.014,-3.4452,13.9955,5.2287,6.01,20.224,16.9706,-4.0508,14.2105,-11.3103,22.5685,7.0318,29.1473,5.2831,5.5414,12.9306,0.9698,26.1407,2.9831,7.0836,1.3715,5.9385,-3.566,2.1996,19.8456,0.7736,28.2037,7.4544,-12.1407,6.7033,-0.9207,1.1764,-2.4355,8.8688,-4.7133,10.362,11.4576,3.0018,2.7986,-21.7973,9.0925,2.0286,-2.5297,13.5453,0.4682,2.379,21.6211,-2.6722,-1.0861,8.722,17.5004,-8.834
0.0,13.4764,-5.928,6.7324,6.8391,10.3167,-9.511,6.4119,17.7902,-3.7004,6.929,1.0109,-8.2385,13.9659,13.661,10.9445,14.8041,7.1397,3.9445,-0.1585,16.0152,17.6511,21.1832,7.4954,4.2781,16.5585,13.2771,-5.5841,-1.8352,4.996,8.8683,-18.0539,8.9852,-0.9417,19.2559,12.2663,10.1184,2.3363,2.5986,8.9598,1.0762,1.0121,5.3228,11.9205,11.7448,2.6853,-14.4444,13.2445,-21.6538,11.6964,4.5864,12.7694,24.789,-10.5238,5.9026,6.4881,2.8662,15.5768,6.5409,-2.1841,8.4009,9.1821,-10.3515,-0.2149,3.9832,5.0182,-1.9978,5.8107,2.6681,5.0247,-8.3476,29.9546,1.002,-5.5585,17.0806,1.5531,14.1208,10.3352,23.1966,8.5231,13.5841,12.1802,14.9608,-2.3471,-7.8517,-7.2933,25.4745,2.6932,11.1422,8.5902,3.6802,-2.1227,7.0504,10.364,10.8401,7.677,-0.2626,-2.781,17.4961,2.4549,-2.8073,-8.0233,19.2277,28.0829,1.7254,14.2657,4.1964,6.3311,7.0111,14.0766,13.7039,11.3632,6.2313,4.2999,5.1162,3.994,4.4529,3.4122,7.9139,1.3779,6.3229,26.2951,11.4617,6.073,0.5399,1.9224,12.666,12.2619,-0.4381,2.2873,12.0333,11.4797,-0.011,8.7044,7.0014,3.0759,2.2203,10.8064,4.5603,3.3731,4.9115,5.559,-1.6246,15.8468,8.6422,9.0879,7.5984,11.4887,7.5026,4.1865,3.9838,17.0741,6.0949,7.4743,15.1026,14.6549,-8.5329,13.4295,-1.4773,7.1781,1.8061,4.0717,5.4544,5.0603,10.3334,1.6883,18.9889,2.8765,-11.124,3.4096,5.2241,8.1265,-6.5414,9.4285,0.5763,27.1356,11.9283,6.4374,6.4967,5.1247,2.8003,2.4011,9.578,-16.8867,15.0242,11.3607,-2.7973,8.2305,-8.2827,8.8625,0.308,9.0434,13.3289,1.7753,6.8774,21.675,-1.3524,12.4989,8.0175,17.4228,-6.7648
